brand,category,product_name,material,retailer,season,rating,discount_percent,original_price,current_price,image_url,product_url,date_scraped
Adidas,Blazer,Adidas Blazer,Silk,Westside,Summer,3.8,25,4699.56,3524.67,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.westside.com/search?q=Adidas+Blazer,2025-10-29
Nike,T-Shirt,Nike T-Shirt,Denim,Westside,Monsoon,4.0,25,2369.93,1777.44,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.westside.com/search?q=Nike+T-Shirt,2025-10-29
Adidas,T-Shirt,Adidas T-Shirt,Polyester,Lifestyle,All-Season,3.6,30,1382.25,967.57,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.lifestylestores.com/in/en/search/?text=Adidas+T-Shirt,2025-10-29
Louis Philippe,Shirt,Louis Philippe Shirt,Wool,Flipkart,Spring,4.4,30,1585.02,1109.51,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.flipkart.com/search?q=Louis+Philippe+Shirt,2025-10-29
Peter England,Coat,Peter England Coat,Viscose,Lifestyle,Spring,3.7,10,1963.73,1767.36,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.lifestylestores.com/in/en/search/?text=Peter+England+Coat,2025-10-29
Calvin Klein,Shirt,Calvin Klein Shirt,Viscose,Westside,Spring,4.4,25,6810.86,5108.15,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.westside.com/search?q=Calvin+Klein+Shirt,2025-10-29
Athena,Hoodie,Athena Hoodie,Leather,Lifestyle,Monsoon,3.9,10,1492.62,1343.35,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.lifestylestores.com/in/en/search/?text=Athena+Hoodie,2025-10-29
Tommy Hilfiger,Polo,Tommy Hilfiger Polo,Wool,Lifestyle,All-Season,4.5,15,7057.56,5998.93,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.lifestylestores.com/in/en/search/?text=Tommy+Hilfiger+Polo,2025-10-29
Allen Solly,Jacket,Allen Solly Jacket,Linen,Reliance Trends,Winter,4.6,50,3160.51,1580.25,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,https://www.reliancetrends.com/search?q=Allen+Solly+Jacket,2025-10-29
Zara,Jeans,Zara Jeans,Denim,Max Fashion,Winter,4.1,20,5944.6,4755.68,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,https://www.maxfashion.in/in/en/search/?text=Zara+Jeans,2025-10-29
Van Heusen,Skirt,Van Heusen Skirt,Silk,Lifestyle,Summer,4.6,30,3470.03,2429.02,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.lifestylestores.com/in/en/search/?text=Van+Heusen+Skirt,2025-10-29
Vero Moda,Shirt,Vero Moda Shirt,Polyester,Flipkart,Winter,3.8,30,1467.66,1027.36,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.flipkart.com/search?q=Vero+Moda+Shirt,2025-10-29
Puma,Shirt,Puma Shirt,Silk,Westside,Spring,4.0,20,1893.15,1514.52,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.westside.com/search?q=Puma+Shirt,2025-10-29
Forever New,Skirt,Forever New Skirt,Blend,Myntra,All-Season,3.5,25,3479.34,2609.5,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.myntra.com/shop/Forever+New+Skirt,2025-10-29
HRX,Sweater,HRX Sweater,Linen,Westside,Winter,3.6,60,3380.14,1352.06,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.westside.com/search?q=HRX+Sweater,2025-10-29
Tommy Hilfiger,Chinos,Tommy Hilfiger Chinos,Polyester,Flipkart,Spring,4.5,0,4932.49,4932.49,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.flipkart.com/search?q=Tommy+Hilfiger+Chinos,2025-10-29
Adidas,Skirt,Adidas Skirt,Synthetic,Reliance Trends,All-Season,3.9,15,1656.48,1408.01,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.reliancetrends.com/search?q=Adidas+Skirt,2025-10-29
Levi's,Dress,Levi's Dress,Viscose,Shoppers Stop,Monsoon,4.4,10,3358.32,3022.49,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.shoppersstop.com/search?q=Levi's+Dress,2025-10-29
Athena,T-Shirt,Athena T-Shirt,Polyester,Myntra,Winter,3.8,20,511.47,409.17,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.myntra.com/shop/Athena+T-Shirt,2025-10-29
Louis Philippe,Pants,Louis Philippe Pants,Blend,Reliance Trends,Spring,4.5,0,2751.14,2751.14,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.reliancetrends.com/search?q=Louis+Philippe+Pants,2025-10-29
Van Heusen,Blazer,Van Heusen Blazer,Polyester,Westside,Monsoon,3.9,15,4236.61,3601.12,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.westside.com/search?q=Van+Heusen+Blazer,2025-10-29
Calvin Klein,Shirt,Calvin Klein Shirt,Silk,Max Fashion,Spring,4.7,15,1867.7,1587.54,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.maxfashion.in/in/en/search/?text=Calvin+Klein+Shirt,2025-10-29
Breakbounce,Coat,Breakbounce Coat,Linen,Max Fashion,Spring,3.6,0,2153.92,2153.92,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.maxfashion.in/in/en/search/?text=Breakbounce+Coat,2025-10-29
Calvin Klein,Hoodie,Calvin Klein Hoodie,Linen,Ajio,Summer,4.1,15,4796.38,4076.93,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.ajio.com/search/?text=Calvin+Klein+Hoodie,2025-10-29
H&M,Pants,H&M Pants,Blend,Flipkart,All-Season,3.6,70,4721.2,1416.36,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.flipkart.com/search?q=H&M+Pants,2025-10-29
Allen Solly,Shirt,Allen Solly Shirt,Silk,Amazon India,Winter,4.5,60,5919.66,2367.86,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.amazon.in/s?k=Allen+Solly+Shirt,2025-10-29
Levi's,Dress,Levi's Dress,Synthetic,Lifestyle,Summer,4.7,70,11708.83,3512.65,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.lifestylestores.com/in/en/search/?text=Levi's+Dress,2025-10-29
Nike,Jacket,Nike Jacket,Wool,Amazon India,All-Season,3.7,30,5966.84,4176.79,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,https://www.amazon.in/s?k=Nike+Jacket,2025-10-29
Forever New,Pants,Forever New Pants,Polyester,Max Fashion,All-Season,3.5,40,2320.34,1392.2,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.maxfashion.in/in/en/search/?text=Forever+New+Pants,2025-10-29
Forever New,Chinos,Forever New Chinos,Linen,Flipkart,Spring,3.9,0,3246.21,3246.21,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.flipkart.com/search?q=Forever+New+Chinos,2025-10-29
Calvin Klein,Pants,Calvin Klein Pants,Polyester,Westside,Monsoon,4.1,15,2591.15,2202.48,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.westside.com/search?q=Calvin+Klein+Pants,2025-10-29
Flying Machine,Coat,Flying Machine Coat,Viscose,Reliance Trends,All-Season,3.8,10,1738.73,1564.86,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.reliancetrends.com/search?q=Flying+Machine+Coat,2025-10-29
Wrogn,Chinos,Wrogn Chinos,Cotton,Reliance Trends,Monsoon,3.6,40,1768.68,1061.21,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.reliancetrends.com/search?q=Wrogn+Chinos,2025-10-29
Forever New,Coat,Forever New Coat,Wool,Reliance Trends,Summer,3.7,30,8306.81,5814.77,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.reliancetrends.com/search?q=Forever+New+Coat,2025-10-29
Raymond,Blazer,Raymond Blazer,Denim,Westside,Spring,4.8,20,3074.7,2459.76,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.westside.com/search?q=Raymond+Blazer,2025-10-29
Vero Moda,Dress,Vero Moda Dress,Synthetic,Ajio,Winter,4.1,0,3267.65,3267.65,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.ajio.com/search/?text=Vero+Moda+Dress,2025-10-29
Athena,Hoodie,Athena Hoodie,Cotton,Flipkart,Summer,3.8,25,1022.76,767.07,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.flipkart.com/search?q=Athena+Hoodie,2025-10-29
Allen Solly,Sweater,Allen Solly Sweater,Cotton,Shoppers Stop,Monsoon,4.1,20,4020.23,3216.19,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.shoppersstop.com/search?q=Allen+Solly+Sweater,2025-10-29
Being Human,Polo,Being Human Polo,Viscose,Flipkart,Spring,3.8,30,1296.74,907.72,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.flipkart.com/search?q=Being+Human+Polo,2025-10-29
Louis Philippe,Sweater,Louis Philippe Sweater,Leather,Ajio,Winter,4.0,25,4857.71,3643.28,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.ajio.com/search/?text=Louis+Philippe+Sweater,2025-10-29
Only,Hoodie,Only Hoodie,Wool,Ajio,Spring,3.5,50,2337.64,1168.82,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.ajio.com/search/?text=Only+Hoodie,2025-10-29
Athena,Skirt,Athena Skirt,Synthetic,Myntra,Winter,3.9,40,1611.79,967.07,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.myntra.com/shop/Athena+Skirt,2025-10-29
Van Heusen,T-Shirt,Van Heusen T-Shirt,Linen,Max Fashion,Monsoon,4.6,30,1087.65,761.35,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.maxfashion.in/in/en/search/?text=Van+Heusen+T-Shirt,2025-10-29
Tommy Hilfiger,Dress,Tommy Hilfiger Dress,Viscose,Max Fashion,All-Season,4.4,30,4126.39,2888.47,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.maxfashion.in/in/en/search/?text=Tommy+Hilfiger+Dress,2025-10-29
Vero Moda,Skirt,Vero Moda Skirt,Denim,Reliance Trends,Spring,4.1,15,1710.69,1454.09,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.reliancetrends.com/search?q=Vero+Moda+Skirt,2025-10-29
Zara,Coat,Zara Coat,Leather,Flipkart,Spring,4.8,50,27070.41,13535.21,https://images.unsplash.com/photo-1539533018447-63fcce2678e3?w=400,https://www.flipkart.com/search?q=Zara+Coat,2025-10-29
Tommy Hilfiger,Polo,Tommy Hilfiger Polo,Wool,Lifestyle,Spring,4.8,0,2896.18,2896.18,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.lifestylestores.com/in/en/search/?text=Tommy+Hilfiger+Polo,2025-10-29
AND,Dress,AND Dress,Cotton,Westside,Spring,3.8,10,2788.09,2509.28,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.westside.com/search?q=AND+Dress,2025-10-29
Mast & Harbour,T-Shirt,Mast & Harbour T-Shirt,Leather,Lifestyle,Monsoon,3.9,15,560.9,476.77,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.lifestylestores.com/in/en/search/?text=Mast+&+Harbour+T-Shirt,2025-10-29
Marks & Spencer,Polo,Marks & Spencer Polo,Leather,Ajio,Summer,4.6,15,1990.66,1692.06,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.ajio.com/search/?text=Marks+&+Spencer+Polo,2025-10-29
Raymond,Blazer,Raymond Blazer,Leather,Westside,Spring,4.7,10,7687.61,6918.85,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.westside.com/search?q=Raymond+Blazer,2025-10-29
Wrogn,Jacket,Wrogn Jacket,Silk,Ajio,Summer,3.7,10,2801.7,2521.53,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,https://www.ajio.com/search/?text=Wrogn+Jacket,2025-10-29
Calvin Klein,Skirt,Calvin Klein Skirt,Denim,Lifestyle,Spring,4.2,40,4837.0,2902.2,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.lifestylestores.com/in/en/search/?text=Calvin+Klein+Skirt,2025-10-29
Allen Solly,T-Shirt,Allen Solly T-Shirt,Synthetic,Shoppers Stop,All-Season,4.5,10,908.76,817.88,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.shoppersstop.com/search?q=Allen+Solly+T-Shirt,2025-10-29
HRX,Shirt,HRX Shirt,Leather,Amazon India,Spring,3.4,10,1135.28,1021.75,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.amazon.in/s?k=HRX+Shirt,2025-10-29
W for Woman,Skirt,W for Woman Skirt,Leather,Myntra,Winter,3.7,20,2790.28,2232.22,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.myntra.com/shop/W+for+Woman+Skirt,2025-10-29
Mast & Harbour,T-Shirt,Mast & Harbour T-Shirt,Wool,Ajio,Monsoon,3.7,25,615.35,461.51,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.ajio.com/search/?text=Mast+&+Harbour+T-Shirt,2025-10-29
Calvin Klein,Shirt,Calvin Klein Shirt,Wool,Amazon India,Spring,4.7,0,2242.49,2242.49,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.amazon.in/s?k=Calvin+Klein+Shirt,2025-10-29
Puma,T-Shirt,Puma T-Shirt,Synthetic,Myntra,Summer,3.5,20,470.15,376.12,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.myntra.com/shop/Puma+T-Shirt,2025-10-29
Mast & Harbour,Sweater,Mast & Harbour Sweater,Leather,Reliance Trends,Summer,3.9,50,1868.03,934.02,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.reliancetrends.com/search?q=Mast+&+Harbour+Sweater,2025-10-29
Van Heusen,Polo,Van Heusen Polo,Synthetic,Shoppers Stop,Spring,4.4,25,836.74,627.56,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.shoppersstop.com/search?q=Van+Heusen+Polo,2025-10-29
Roadster,Chinos,Roadster Chinos,Blend,Myntra,All-Season,3.4,0,807.12,807.12,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.myntra.com/shop/Roadster+Chinos,2025-10-29
Calvin Klein,Blazer,Calvin Klein Blazer,Leather,Flipkart,Summer,4.7,0,14869.85,14869.85,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.flipkart.com/search?q=Calvin+Klein+Blazer,2025-10-29
Raymond,Hoodie,Raymond Hoodie,Leather,Flipkart,Winter,4.8,0,3523.92,3523.92,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.flipkart.com/search?q=Raymond+Hoodie,2025-10-29
Calvin Klein,Sweater,Calvin Klein Sweater,Cotton,Shoppers Stop,Monsoon,4.4,25,4081.28,3060.96,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.shoppersstop.com/search?q=Calvin+Klein+Sweater,2025-10-29
Roadster,Sweater,Roadster Sweater,Denim,Reliance Trends,Summer,3.5,70,2719.44,815.83,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.reliancetrends.com/search?q=Roadster+Sweater,2025-10-29
Roadster,Chinos,Roadster Chinos,Linen,Ajio,All-Season,3.4,25,590.1,442.57,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.ajio.com/search/?text=Roadster+Chinos,2025-10-29
Athena,Polo,Athena Polo,Wool,Shoppers Stop,Summer,3.4,10,1226.78,1104.1,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.shoppersstop.com/search?q=Athena+Polo,2025-10-29
Louis Philippe,Shirt,Louis Philippe Shirt,Viscose,Reliance Trends,Monsoon,4.2,10,2223.46,2001.11,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf?w=400,https://www.reliancetrends.com/search?q=Louis+Philippe+Shirt,2025-10-29
Breakbounce,T-Shirt,Breakbounce T-Shirt,Wool,Reliance Trends,Winter,4.0,10,814.96,733.46,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.reliancetrends.com/search?q=Breakbounce+T-Shirt,2025-10-29
Being Human,Hoodie,Being Human Hoodie,Leather,Westside,Winter,3.6,15,1591.95,1353.16,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400,https://www.westside.com/search?q=Being+Human+Hoodie,2025-10-29
Peter England,Dress,Peter England Dress,Viscose,Flipkart,Monsoon,3.8,30,1114.99,780.49,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=400,https://www.flipkart.com/search?q=Peter+England+Dress,2025-10-29
Being Human,Sweater,Being Human Sweater,Viscose,Myntra,Winter,3.8,40,1089.6,653.76,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.myntra.com/shop/Being+Human+Sweater,2025-10-29
Tommy Hilfiger,Jacket,Tommy Hilfiger Jacket,Denim,Flipkart,Monsoon,4.6,40,6808.28,4084.97,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=400,https://www.flipkart.com/search?q=Tommy+Hilfiger+Jacket,2025-10-29
Breakbounce,Chinos,Breakbounce Chinos,Denim,Ajio,Spring,3.5,10,1124.86,1012.37,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.ajio.com/search/?text=Breakbounce+Chinos,2025-10-29
Zara,Polo,Zara Polo,Polyester,Shoppers Stop,Spring,4.6,0,1069.39,1069.39,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.shoppersstop.com/search?q=Zara+Polo,2025-10-29
Breakbounce,Chinos,Breakbounce Chinos,Cotton,Myntra,Winter,3.6,60,4401.1,1760.44,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.myntra.com/shop/Breakbounce+Chinos,2025-10-29
Only,Blazer,Only Blazer,Synthetic,Flipkart,Winter,3.6,20,4012.89,3210.31,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400,https://www.flipkart.com/search?q=Only+Blazer,2025-10-29
Vero Moda,T-Shirt,Vero Moda T-Shirt,Synthetic,Reliance Trends,Monsoon,3.9,15,921.68,783.43,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.reliancetrends.com/search?q=Vero+Moda+T-Shirt,2025-10-29
Only,Chinos,Only Chinos,Blend,Flipkart,Summer,3.8,15,2280.22,1938.19,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.flipkart.com/search?q=Only+Chinos,2025-10-29
Athena,Skirt,Athena Skirt,Synthetic,Westside,All-Season,3.6,30,1053.57,737.5,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=400,https://www.westside.com/search?q=Athena+Skirt,2025-10-29
Van Heusen,Sweater,Van Heusen Sweater,Denim,Shoppers Stop,Summer,4.2,20,2435.49,1948.39,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=400,https://www.shoppersstop.com/search?q=Van+Heusen+Sweater,2025-10-29
Breakbounce,T-Shirt,Breakbounce T-Shirt,Blend,Myntra,Summer,3.8,30,657.94,460.56,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400,https://www.myntra.com/shop/Breakbounce+T-Shirt,2025-10-29
Flying Machine,Jeans,Flying Machine Jeans,Linen,Ajio,All-Season,3.9,0,1613.83,1613.83,https://images.unsplash.com/photo-1542272604-787c3835535d?w=400,https://www.ajio.com/search/?text=Flying+Machine+Jeans,2025-10-29
Puma,Pants,Puma Pants,Cotton,Ajio,Summer,3.6,15,1720.66,1462.56,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400,https://www.ajio.com/search/?text=Puma+Pants,2025-10-29
Peter England,Polo,Peter England Polo,Viscose,Max Fashion,Monsoon,3.9,0,839.85,839.85,https://images.unsplash.com/photo-1586790170083-2f9ceadc732d?w=400,https://www.maxfashion.in/in/en/search/?text=Peter+England+Polo,2025-10-29
