brand,category,material,retailer,season,rating,discount_percent,original_price,current_price,date_scraped
Being Human,Polo,Wool,Myntra,Summer,3.7,15,1397.19,1187.62,2025-10-24
W for Woman,Dress,Linen,Westside,Summer,3.7,25,3278.35,2458.76,2025-10-24
Raymond,Hoodie,Blend,Amazon India,Winter,4.3,60,3291.49,1316.59,2025-10-24
W for Woman,Chinos,Leather,Lifestyle,All-Season,3.9,10,2366.3,2129.67,2025-10-24
Wrogn,Jeans,Linen,Myntra,Monsoon,3.9,0,1088.57,1088.57,2025-10-24
Mast & Harbour,Sweater,Silk,Myntra,Winter,3.7,20,1870.04,1496.03,2025-10-24
Roadster,Coat,Polyester,Amazon India,Summer,3.5,30,1298.92,909.24,2025-10-24
Forever New,Pants,Silk,Myntra,Monsoon,3.6,25,4992.27,3744.21,2025-10-24
Louis Philippe,Blazer,Denim,Lifestyle,All-Season,4.6,10,5908.08,5317.27,2025-10-24
Louis Philippe,Shirt,Blend,Max Fashion,All-Season,4.2,15,1559.73,1325.77,2025-10-24
Roadster,Skirt,Synthetic,Westside,Summer,3.6,20,1014.37,811.5,2025-10-24
Breakbounce,Pants,Wool,Westside,Spring,4.1,30,1806.56,1264.59,2025-10-24
HRX,Sweater,Silk,Max Fashion,Spring,3.7,20,1265.31,1012.25,2025-10-24
Being Human,Sweater,Synthetic,Amazon India,Spring,3.9,15,693.08,589.12,2025-10-24
Roadster,Sweater,Viscose,Flipkart,Winter,3.9,0,507.07,507.07,2025-10-24
W for Woman,Sweater,Wool,Amazon India,Spring,3.4,60,5708.3,2283.32,2025-10-24
Forever New,Chinos,Synthetic,Ajio,Spring,4.2,15,2464.03,2094.42,2025-10-24
Being Human,Sweater,Silk,Myntra,Monsoon,4.2,25,1720.71,1290.53,2025-10-24
Nike,Polo,Wool,Myntra,Summer,3.9,40,2940.25,1764.15,2025-10-24
Peter England,Jacket,Wool,Lifestyle,Spring,4.0,30,2892.62,2024.83,2025-10-24
Tommy Hilfiger,Shirt,Cotton,Ajio,Spring,4.9,30,4063.75,2844.62,2025-10-24
Only,Polo,Silk,Reliance Trends,Spring,3.4,15,1803.59,1533.05,2025-10-24
Vero Moda,Dress,Linen,Myntra,All-Season,4.0,30,3584.29,2509.0,2025-10-24
Athena,Jeans,Viscose,Flipkart,All-Season,3.7,15,918.07,780.36,2025-10-24
Louis Philippe,Chinos,Cotton,Ajio,Summer,4.4,60,6059.74,2423.89,2025-10-24
Being Human,Hoodie,Blend,Ajio,Monsoon,3.9,10,1287.37,1158.63,2025-10-24
Van Heusen,Shirt,Linen,Myntra,Spring,4.2,30,1803.74,1262.62,2025-10-24
Allen Solly,Dress,Polyester,Shoppers Stop,Summer,4.4,15,4068.32,3458.07,2025-10-24
Levi's,Sweater,Leather,Myntra,Spring,4.4,15,6555.04,5571.78,2025-10-24
Flying Machine,T-Shirt,Denim,Lifestyle,Spring,3.6,40,916.79,550.07,2025-10-24
Only,Sweater,Polyester,Max Fashion,Summer,3.9,20,2309.15,1847.32,2025-10-24
Athena,Shirt,Silk,Amazon India,Spring,3.9,25,1072.18,804.14,2025-10-24
Levi's,Sweater,Viscose,Ajio,Summer,4.0,30,3181.48,2227.04,2025-10-24
Breakbounce,Jacket,Polyester,Flipkart,Monsoon,4.2,50,3138.41,1569.2,2025-10-24
Nike,Polo,Blend,Amazon India,All-Season,3.8,30,3124.93,2187.45,2025-10-24
Wrogn,Polo,Linen,Amazon India,Winter,3.7,20,935.96,748.77,2025-10-24
Raymond,Blazer,Viscose,Shoppers Stop,Monsoon,4.9,50,6468.06,3234.03,2025-10-24
Vero Moda,Dress,Viscose,Westside,Summer,3.8,10,3804.43,3423.99,2025-10-24
Van Heusen,Chinos,Silk,Lifestyle,Spring,4.0,20,1570.11,1256.09,2025-10-24
Forever New,Skirt,Cotton,Flipkart,Summer,4.0,0,1191.65,1191.65,2025-10-24
HRX,Coat,Blend,Shoppers Stop,Summer,3.9,25,2424.14,1818.11,2025-10-24
AND,T-Shirt,Polyester,Myntra,Summer,4.0,25,1021.78,766.33,2025-10-24
Being Human,Jacket,Silk,Lifestyle,Winter,3.8,20,4473.95,3579.16,2025-10-24
Flying Machine,Sweater,Blend,Myntra,Spring,3.8,25,1523.52,1142.64,2025-10-24
Vero Moda,Shirt,Cotton,Amazon India,Spring,4.1,20,1767.05,1413.64,2025-10-24
Louis Philippe,Pants,Leather,Westside,Summer,4.0,25,3588.54,2691.4,2025-10-24
HRX,Pants,Denim,Shoppers Stop,Summer,3.6,25,2365.42,1774.06,2025-10-24
Athena,Chinos,Cotton,Myntra,Monsoon,3.6,50,2580.64,1290.32,2025-10-24
Puma,Hoodie,Cotton,Ajio,Monsoon,3.7,25,1065.58,799.18,2025-10-24
Only,Blazer,Cotton,Lifestyle,Monsoon,3.7,0,1770.62,1770.62,2025-10-24
Nike,Skirt,Linen,Lifestyle,Winter,3.7,30,4229.04,2960.33,2025-10-24
Calvin Klein,Coat,Viscose,Myntra,Spring,4.4,0,4478.14,4478.14,2025-10-24
Mast & Harbour,Sweater,Blend,Westside,Spring,4.2,10,752.59,677.33,2025-10-24
H&M,Coat,Denim,Lifestyle,Spring,3.6,15,2076.68,1765.18,2025-10-24
Calvin Klein,Jeans,Linen,Myntra,Winter,4.9,20,8421.76,6737.41,2025-10-24
Allen Solly,Skirt,Linen,Reliance Trends,All-Season,4.0,40,3911.89,2347.14,2025-10-24
Athena,Pants,Polyester,Shoppers Stop,Monsoon,3.9,25,1470.38,1102.79,2025-10-24
Peter England,Jacket,Denim,Ajio,Monsoon,3.8,20,2030.47,1624.38,2025-10-24
Vero Moda,Jacket,Linen,Flipkart,All-Season,3.6,15,2227.75,1893.58,2025-10-24
Allen Solly,Blazer,Silk,Shoppers Stop,Winter,4.5,15,5652.79,4804.87,2025-10-24
Calvin Klein,Dress,Blend,Ajio,Monsoon,4.4,25,7247.27,5435.45,2025-10-24
Forever New,Polo,Leather,Flipkart,All-Season,3.6,25,4059.64,3044.73,2025-10-24
Roadster,Chinos,Silk,Reliance Trends,Monsoon,3.6,30,1475.04,1032.53,2025-10-24
Nike,Coat,Linen,Westside,Monsoon,3.5,25,12126.79,9095.1,2025-10-24
Van Heusen,Shirt,Blend,Max Fashion,All-Season,4.1,30,1688.82,1182.18,2025-10-24
Allen Solly,Coat,Linen,Ajio,Monsoon,4.6,25,6185.91,4639.43,2025-10-24
Roadster,Dress,Linen,Reliance Trends,Monsoon,3.8,30,1883.99,1318.8,2025-10-24
Puma,Jeans,Denim,Ajio,Spring,4.2,25,2485.94,1864.45,2025-10-24
Vero Moda,T-Shirt,Synthetic,Myntra,Spring,3.8,25,1218.65,913.99,2025-10-24
Forever New,Blazer,Blend,Lifestyle,Summer,3.5,0,3135.01,3135.01,2025-10-24
Tommy Hilfiger,Jeans,Linen,Myntra,All-Season,4.6,15,6711.95,5705.15,2025-10-24
Raymond,Polo,Cotton,Westside,Monsoon,4.4,25,4100.78,3075.59,2025-10-24
Flying Machine,Chinos,Wool,Westside,Summer,4.1,15,745.87,633.99,2025-10-24
Breakbounce,Skirt,Polyester,Ajio,Spring,4.0,70,2428.37,728.51,2025-10-24
Vero Moda,Pants,Denim,Myntra,All-Season,3.7,25,2073.52,1555.14,2025-10-24
Calvin Klein,Dress,Polyester,Shoppers Stop,All-Season,4.4,10,4075.53,3667.97,2025-10-24
Roadster,Sweater,Viscose,Amazon India,Monsoon,3.8,20,512.12,409.7,2025-10-24
HRX,Chinos,Cotton,Myntra,Monsoon,3.8,30,1981.46,1387.03,2025-10-24
US Polo Assn,Blazer,Leather,Flipkart,All-Season,3.6,25,4280.98,3210.73,2025-10-24
Louis Philippe,Jacket,Cotton,Flipkart,Winter,4.1,20,3778.78,3023.02,2025-10-24
Only,Jeans,Leather,Myntra,All-Season,3.6,30,4207.29,2945.1,2025-10-24
Tommy Hilfiger,Coat,Blend,Max Fashion,Spring,4.3,25,9092.09,6819.07,2025-10-24
Zara,Coat,Viscose,Max Fashion,Winter,4.5,0,4717.69,4717.69,2025-10-24
Tommy Hilfiger,Jeans,Wool,Max Fashion,All-Season,4.8,30,5945.34,4161.73,2025-10-24
Breakbounce,Skirt,Leather,Amazon India,All-Season,3.9,30,2098.03,1468.62,2025-10-24
Forever New,Chinos,Silk,Lifestyle,Spring,3.7,30,5692.63,3984.84,2025-10-24
Athena,Coat,Denim,Myntra,Summer,3.4,10,1883.92,1695.53,2025-10-24
Athena,Jacket,Wool,Westside,Monsoon,3.8,20,2586.36,2069.09,2025-10-24
Levi's,T-Shirt,Polyester,Flipkart,Summer,3.9,25,1560.97,1170.73,2025-10-24
Only,Pants,Silk,Amazon India,Monsoon,3.6,15,2722.95,2314.51,2025-10-24
H&M,Shirt,Leather,Max Fashion,Monsoon,4.0,30,1534.21,1073.95,2025-10-24
Raymond,Skirt,Silk,Westside,Monsoon,4.4,25,3612.98,2709.74,2025-10-24
Being Human,Dress,Silk,Flipkart,Summer,4.1,15,3220.78,2737.66,2025-10-24
Roadster,Jacket,Linen,Amazon India,Winter,3.6,30,1387.99,971.59,2025-10-24
Only,Skirt,Viscose,Amazon India,Monsoon,3.5,20,2299.68,1839.74,2025-10-24
W for Woman,Hoodie,Wool,Lifestyle,Spring,4.1,20,1853.26,1482.61,2025-10-24
Tommy Hilfiger,Blazer,Cotton,Amazon India,Winter,4.6,15,7446.34,6329.39,2025-10-24
Levi's,Shirt,Cotton,Westside,All-Season,4.5,10,4020.25,3618.22,2025-10-24
Vero Moda,Skirt,Polyester,Amazon India,Summer,3.7,10,1803.61,1623.24,2025-10-24
Calvin Klein,Hoodie,Cotton,Shoppers Stop,Winter,4.6,0,4436.68,4436.68,2025-10-24
Puma,Hoodie,Synthetic,Max Fashion,Summer,4.1,50,1154.59,577.3,2025-10-24
W for Woman,Shirt,Denim,Shoppers Stop,Monsoon,4.1,15,2114.91,1797.67,2025-10-24
Allen Solly,T-Shirt,Silk,Flipkart,Monsoon,4.4,50,1344.74,672.37,2025-10-24
Louis Philippe,Jeans,Silk,Flipkart,Spring,4.0,40,3929.04,2357.43,2025-10-24
Adidas,Skirt,Cotton,Ajio,Monsoon,4.1,50,6461.24,3230.62,2025-10-24
Roadster,Jacket,Denim,Amazon India,Summer,4.1,20,1821.6,1457.28,2025-10-24
Tommy Hilfiger,T-Shirt,Viscose,Westside,All-Season,4.1,0,2223.21,2223.21,2025-10-24
H&M,Shirt,Wool,Max Fashion,Winter,3.9,25,847.99,635.99,2025-10-24
Raymond,Dress,Cotton,Lifestyle,All-Season,4.7,10,2099.85,1889.87,2025-10-24
Peter England,Hoodie,Polyester,Westside,Spring,3.6,40,696.22,417.73,2025-10-24
AND,Sweater,Polyester,Flipkart,Winter,3.7,20,880.94,704.75,2025-10-24
Zara,Blazer,Blend,Lifestyle,Summer,4.4,0,9269.82,9269.82,2025-10-24
HRX,Dress,Viscose,Ajio,Monsoon,4.1,20,1360.05,1088.04,2025-10-24
Calvin Klein,Chinos,Leather,Lifestyle,Winter,4.8,40,11937.24,7162.34,2025-10-24
Calvin Klein,Hoodie,Silk,Reliance Trends,Summer,4.9,10,2084.45,1876.0,2025-10-24
Levi's,Jeans,Leather,Shoppers Stop,Spring,4.5,25,3556.68,2667.51,2025-10-24
Wrogn,Chinos,Silk,Reliance Trends,All-Season,3.9,25,1464.98,1098.74,2025-10-24
Zara,Blazer,Wool,Ajio,Summer,4.8,15,3529.87,3000.39,2025-10-24
W for Woman,Polo,Leather,Max Fashion,Monsoon,4.2,20,1584.64,1267.71,2025-10-24
Only,T-Shirt,Leather,Max Fashion,All-Season,3.5,40,1568.72,941.23,2025-10-24
Adidas,Chinos,Linen,Westside,Monsoon,4.0,30,6810.82,4767.57,2025-10-24
Breakbounce,Skirt,Polyester,Max Fashion,Monsoon,4.1,20,1663.32,1330.66,2025-10-24
Raymond,Chinos,Synthetic,Flipkart,Monsoon,4.3,10,3796.32,3416.69,2025-10-24
Breakbounce,Dress,Linen,Westside,Monsoon,3.6,10,3130.2,2817.18,2025-10-24
Allen Solly,Blazer,Synthetic,Lifestyle,Spring,4.0,30,2807.98,1965.59,2025-10-24
Forever New,Hoodie,Denim,Westside,Monsoon,3.5,50,2271.34,1135.67,2025-10-24
Forever New,T-Shirt,Denim,Reliance Trends,All-Season,3.8,0,1388.46,1388.46,2025-10-24
US Polo Assn,Blazer,Viscose,Lifestyle,Monsoon,3.9,30,5300.9,3710.63,2025-10-24
Being Human,Dress,Synthetic,Reliance Trends,Summer,4.0,0,852.82,852.82,2025-10-24
Peter England,Jeans,Denim,Ajio,All-Season,3.7,0,1057.27,1057.27,2025-10-24
Allen Solly,Sweater,Cotton,Ajio,Spring,4.2,15,2339.05,1988.19,2025-10-24
Louis Philippe,Skirt,Polyester,Shoppers Stop,All-Season,3.9,50,4143.46,2071.73,2025-10-24
H&M,Skirt,Blend,Amazon India,Winter,3.7,50,1817.91,908.95,2025-10-24
H&M,Polo,Synthetic,Shoppers Stop,Spring,3.7,25,515.04,386.28,2025-10-24
Louis Philippe,Jeans,Synthetic,Myntra,All-Season,4.0,25,3299.95,2474.96,2025-10-24
Peter England,Pants,Viscose,Ajio,Monsoon,3.7,0,528.85,528.85,2025-10-24
Nike,Hoodie,Linen,Ajio,All-Season,4.2,20,2977.79,2382.23,2025-10-24
AND,Hoodie,Silk,Ajio,Winter,3.8,10,1056.2,950.58,2025-10-24
Athena,Jacket,Leather,Flipkart,Monsoon,3.5,25,1562.07,1171.55,2025-10-24
Wrogn,Hoodie,Leather,Ajio,Winter,3.9,30,1726.11,1208.28,2025-10-24
Only,Jacket,Silk,Amazon India,Monsoon,3.6,15,5578.02,4741.31,2025-10-24
Puma,Shirt,Linen,Flipkart,All-Season,3.9,40,3372.7,2023.62,2025-10-24
Athena,Blazer,Linen,Shoppers Stop,Monsoon,4.1,30,3588.85,2512.2,2025-10-24
Mast & Harbour,Polo,Denim,Lifestyle,Summer,3.6,20,527.28,421.83,2025-10-24
US Polo Assn,Polo,Blend,Westside,Spring,3.8,25,1155.42,866.56,2025-10-24
AND,Dress,Wool,Lifestyle,Winter,4.0,25,4793.5,3595.12,2025-10-24
Puma,Chinos,Denim,Amazon India,Summer,3.8,40,2972.33,1783.4,2025-10-24
AND,Skirt,Synthetic,Lifestyle,Monsoon,3.5,0,690.54,690.54,2025-10-24
US Polo Assn,Polo,Blend,Max Fashion,Winter,3.8,50,1199.22,599.61,2025-10-24
Being Human,Sweater,Linen,Reliance Trends,Summer,4.1,70,2273.68,682.1,2025-10-24
Adidas,T-Shirt,Silk,Shoppers Stop,Summer,3.5,15,2854.33,2426.18,2025-10-24
Roadster,Coat,Synthetic,Amazon India,All-Season,4.0,15,1501.11,1275.94,2025-10-24
Peter England,Skirt,Denim,Flipkart,All-Season,3.7,30,741.21,518.85,2025-10-24
Athena,Jacket,Viscose,Reliance Trends,Monsoon,4.2,15,1596.29,1356.85,2025-10-24
Louis Philippe,Chinos,Leather,Myntra,Summer,4.2,50,7672.86,3836.43,2025-10-24
Only,Blazer,Silk,Westside,Spring,3.5,20,4026.46,3221.17,2025-10-24
Athena,Jacket,Linen,Max Fashion,Winter,3.9,10,978.19,880.37,2025-10-24
Puma,Polo,Viscose,Flipkart,Winter,3.7,0,473.47,473.47,2025-10-24
Only,Sweater,Leather,Westside,Summer,3.7,0,2214.45,2214.45,2025-10-24
Calvin Klein,Chinos,Leather,Ajio,Spring,4.4,0,4952.82,4952.82,2025-10-24
US Polo Assn,Hoodie,Silk,Flipkart,Spring,3.4,20,2269.76,1815.81,2025-10-24
H&M,Pants,Linen,Max Fashion,Spring,4.2,40,1435.7,861.42,2025-10-24
Calvin Klein,Blazer,Synthetic,Westside,Monsoon,4.2,15,11910.6,10124.01,2025-10-24
Van Heusen,Polo,Viscose,Westside,Spring,4.4,15,1103.72,938.16,2025-10-24
H&M,Shirt,Leather,Max Fashion,All-Season,3.6,15,1996.81,1697.29,2025-10-24
Puma,Jeans,Synthetic,Reliance Trends,Winter,3.5,15,1008.52,857.24,2025-10-24
Van Heusen,Coat,Blend,Flipkart,Monsoon,4.5,40,6021.14,3612.68,2025-10-24
Only,T-Shirt,Linen,Myntra,Summer,3.4,20,1367.36,1093.89,2025-10-24
Tommy Hilfiger,Hoodie,Leather,Ajio,Monsoon,4.8,20,8977.32,7181.85,2025-10-24
Van Heusen,Polo,Wool,Reliance Trends,Winter,4.1,15,862.64,733.25,2025-10-24
Mast & Harbour,Polo,Silk,Flipkart,All-Season,3.8,15,1075.11,913.84,2025-10-24
Forever New,Dress,Cotton,Myntra,All-Season,4.1,10,4634.8,4171.32,2025-10-24
Peter England,Jeans,Polyester,Lifestyle,Winter,4.1,20,2514.04,2011.23,2025-10-24
Wrogn,T-Shirt,Wool,Myntra,Monsoon,4.0,15,634.93,539.69,2025-10-24
Being Human,Shirt,Cotton,Max Fashion,Spring,4.0,20,1511.81,1209.44,2025-10-24
W for Woman,Polo,Blend,Amazon India,Spring,4.2,20,556.22,444.98,2025-10-24
US Polo Assn,Dress,Synthetic,Flipkart,Monsoon,3.7,40,2566.61,1539.97,2025-10-24
Raymond,Pants,Blend,Westside,Monsoon,4.1,30,5318.9,3723.23,2025-10-24
Forever New,Chinos,Linen,Flipkart,All-Season,4.0,15,2240.09,1904.08,2025-10-24
Van Heusen,Sweater,Blend,Westside,Monsoon,4.6,25,931.99,698.99,2025-10-24
Roadster,Hoodie,Synthetic,Westside,All-Season,3.5,30,921.2,644.84,2025-10-24
Marks & Spencer,Jacket,Leather,Myntra,Winter,4.9,15,13157.31,11183.71,2025-10-24
Louis Philippe,Chinos,Wool,Lifestyle,All-Season,4.3,30,5169.45,3618.62,2025-10-24
W for Woman,Jacket,Linen,Reliance Trends,Winter,3.6,50,6656.46,3328.23,2025-10-24
Levi's,Coat,Polyester,Westside,Spring,4.0,20,9248.7,7398.96,2025-10-24
Nike,Coat,Blend,Westside,Summer,3.7,40,11745.28,7047.17,2025-10-24
Flying Machine,Shirt,Cotton,Westside,Winter,3.8,70,4113.03,1233.91,2025-10-24
Allen Solly,Pants,Leather,Ajio,Winter,4.4,15,1418.92,1206.08,2025-10-24
Adidas,Pants,Viscose,Max Fashion,All-Season,3.7,10,1243.72,1119.35,2025-10-24
Adidas,Pants,Denim,Reliance Trends,Monsoon,3.9,15,3213.78,2731.72,2025-10-24
Levi's,T-Shirt,Wool,Myntra,Summer,4.2,50,3144.54,1572.27,2025-10-24
Van Heusen,Shirt,Wool,Westside,All-Season,3.9,20,1913.46,1530.76,2025-10-24
Vero Moda,Shirt,Silk,Reliance Trends,Monsoon,3.5,30,4191.58,2934.1,2025-10-24
Breakbounce,Dress,Linen,Myntra,Spring,3.4,20,2720.77,2176.61,2025-10-24
H&M,Coat,Blend,Max Fashion,Summer,3.6,30,3420.29,2394.2,2025-10-24
Being Human,Pants,Synthetic,Reliance Trends,Spring,3.8,20,572.92,458.33,2025-10-24
Roadster,Polo,Wool,Lifestyle,Winter,4.1,10,617.4,555.66,2025-10-24
Wrogn,Jeans,Leather,Amazon India,Summer,3.6,15,2883.69,2451.14,2025-10-24
Puma,Dress,Cotton,Lifestyle,Monsoon,3.7,15,2300.23,1955.19,2025-10-24
Calvin Klein,Jeans,Linen,Westside,All-Season,4.7,10,3061.15,2755.03,2025-10-24
Van Heusen,Blazer,Viscose,Amazon India,Spring,4.7,10,1409.62,1268.66,2025-10-24
Mast & Harbour,Chinos,Wool,Lifestyle,Spring,3.9,30,1177.51,824.26,2025-10-24
Calvin Klein,Chinos,Viscose,Max Fashion,Winter,4.8,30,4889.19,3422.43,2025-10-24
Being Human,Polo,Polyester,Max Fashion,Winter,3.9,30,627.11,438.98,2025-10-24
W for Woman,T-Shirt,Cotton,Amazon India,Spring,3.8,30,538.78,377.15,2025-10-24
Adidas,Blazer,Leather,Max Fashion,Winter,4.2,10,2663.3,2396.97,2025-10-24
Tommy Hilfiger,Sweater,Polyester,Reliance Trends,Monsoon,4.9,15,2643.28,2246.79,2025-10-24
H&M,Coat,Viscose,Flipkart,Summer,3.5,25,3066.28,2299.71,2025-10-24
Marks & Spencer,Sweater,Wool,Max Fashion,Spring,4.1,30,4363.91,3054.74,2025-10-24
Only,Skirt,Leather,Shoppers Stop,All-Season,3.9,10,2589.79,2330.81,2025-10-24
HRX,Blazer,Polyester,Flipkart,Monsoon,3.4,15,2271.77,1931.0,2025-10-24
Van Heusen,Coat,Linen,Amazon India,Winter,4.4,20,4085.3,3268.24,2025-10-24
Levi's,Dress,Denim,Reliance Trends,All-Season,4.6,60,7827.94,3131.18,2025-10-24
Forever New,Polo,Wool,Max Fashion,All-Season,3.9,40,2653.41,1592.05,2025-10-24
HRX,Shirt,Linen,Flipkart,Summer,3.9,25,740.39,555.3,2025-10-24
Roadster,Coat,Cotton,Ajio,Summer,3.7,25,1702.45,1276.84,2025-10-24
Allen Solly,Polo,Synthetic,Lifestyle,Summer,4.4,30,1341.83,939.28,2025-10-24
Calvin Klein,Jeans,Blend,Ajio,Spring,4.4,30,9071.62,6350.13,2025-10-24
W for Woman,Jeans,Viscose,Max Fashion,Summer,4.0,40,2927.27,1756.36,2025-10-24
Nike,Coat,Linen,Amazon India,Summer,3.7,20,7117.1,5693.68,2025-10-24
Allen Solly,Blazer,Leather,Amazon India,All-Season,4.1,25,3827.51,2870.63,2025-10-24
Mast & Harbour,Coat,Polyester,Max Fashion,All-Season,3.8,0,1726.17,1726.17,2025-10-24
Flying Machine,Pants,Leather,Myntra,All-Season,3.7,10,900.66,810.6,2025-10-24
US Polo Assn,Jeans,Viscose,Max Fashion,All-Season,4.2,0,859.78,859.78,2025-10-24
Calvin Klein,Shirt,Denim,Shoppers Stop,Winter,4.6,30,8038.34,5626.84,2025-10-24
Van Heusen,Dress,Synthetic,Max Fashion,Spring,4.0,15,1789.61,1521.16,2025-10-24
Nike,Jeans,Denim,Westside,Winter,3.6,15,3829.72,3255.26,2025-10-24
Adidas,Blazer,Blend,Flipkart,Spring,3.7,10,3682.66,3314.4,2025-10-24
Being Human,Coat,Leather,Westside,Monsoon,4.0,30,6485.35,4539.75,2025-10-24
HRX,Dress,Linen,Amazon India,Summer,3.8,10,959.85,863.87,2025-10-24
W for Woman,T-Shirt,Viscose,Ajio,Monsoon,4.2,40,832.65,499.59,2025-10-24
Raymond,Coat,Linen,Flipkart,Summer,4.3,15,10396.47,8837.0,2025-10-24
Marks & Spencer,T-Shirt,Denim,Amazon India,Summer,4.2,15,926.05,787.14,2025-10-24
Nike,Coat,Silk,Max Fashion,Winter,3.9,20,10188.51,8150.81,2025-10-24
Only,Chinos,Leather,Reliance Trends,Spring,4.0,15,3502.34,2976.99,2025-10-24
AND,Sweater,Linen,Lifestyle,Monsoon,3.8,40,2551.58,1530.95,2025-10-24
US Polo Assn,Polo,Viscose,Shoppers Stop,Monsoon,4.1,30,763.55,534.49,2025-10-24
Peter England,Hoodie,Synthetic,Flipkart,Monsoon,3.7,0,655.33,655.33,2025-10-24
Van Heusen,Coat,Synthetic,Flipkart,Summer,4.2,15,3985.1,3387.34,2025-10-24
